0;14;12;14;14;14;12;11;11;10;13;10;9;8;11;2;1
14;0;12;14;14;14;12;11;11;10;13;10;9;8;11;2;1
12;12;0;12;12;12;12;11;11;10;12;10;9;8;11;2;1
14;14;12;0;14;14;12;11;11;10;13;10;9;8;11;2;1
14;14;12;14;0;14;12;11;11;10;13;10;9;8;11;2;1
14;14;12;14;14;0;12;11;11;10;13;10;9;8;11;2;1
12;12;12;12;12;12;0;11;11;10;12;10;9;8;11;2;1
11;11;11;11;11;11;11;0;11;10;11;10;9;8;11;2;1
11;11;11;11;11;11;11;11;0;10;11;10;9;8;11;2;1
10;10;10;10;10;10;10;10;10;0;10;10;9;8;10;2;1
13;13;12;13;13;13;12;11;11;10;0;10;9;8;11;2;1
10;10;10;10;10;10;10;10;10;10;10;0;9;8;10;2;1
9;9;9;9;9;9;9;9;9;9;9;9;0;8;9;2;1
8;8;8;8;8;8;8;8;8;8;8;8;8;0;8;2;1
11;11;11;11;11;11;11;11;11;10;11;10;9;8;0;2;1
2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;1
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
