0;21;23;23;12;23;23;20;23;23;23;23;23;23;23;23;20;23;23;23;23;10;23;23;3;23;23;23;4;6;23;23;23;16;23;23;23;23;19;19;23;23;22;23;23;23;23;23;1;13;23;23;19;23;23;23;17;16;20;23;23;23;18;16;17;23;23;23;17;23;20;12;23;23;23;23;2;3;3;23;23;23;23;23;23;23;23;23;23;23;23;9;23;23;23;23;23;23;13;23;23;23;23;23;23;23;23;23;23;23;23;23;20;23;14;23;23;23;23;17;23;23;23;23;23;20;13;23;19;19;20;13;23;16;18;19;23;21;23;20;6;5;5;13;8;9;8;23;23;23;2;23;23;23;23;22;11;19;23;23;14;1;3;23;23;23;23;23;23;23;23;23;23;23;8;13;14;14;18;5;6;5;6;6;7;7;12;8;17;3;6;10;14;18;1;2;1;1
21;0;21;21;12;21;21;20;21;21;21;21;21;21;21;21;20;21;21;21;21;10;21;21;3;21;21;21;4;6;21;21;21;16;21;21;21;21;19;19;21;21;21;21;21;21;21;21;1;13;21;21;19;21;21;21;17;16;20;21;21;21;18;16;17;21;21;21;17;21;20;12;21;21;21;21;2;3;3;21;21;21;21;21;21;21;21;21;21;21;21;9;21;21;21;21;21;21;13;21;21;21;21;21;21;21;21;21;21;21;21;21;20;21;14;21;21;21;21;17;21;21;21;21;21;20;13;21;19;19;20;13;21;16;18;19;21;21;21;20;6;5;5;13;8;9;8;21;21;21;2;21;21;21;21;21;11;19;21;21;14;1;3;21;21;21;21;21;21;21;21;21;21;21;8;13;14;14;18;5;6;5;6;6;7;7;12;8;17;3;6;10;14;18;1;2;1;1
23;21;0;29;12;23;29;20;26;29;29;29;29;29;29;23;20;29;29;29;29;10;29;29;3;25;29;29;4;6;29;29;29;16;29;25;29;29;19;19;23;29;22;23;24;24;29;24;1;13;28;29;19;29;29;29;17;16;20;29;29;29;18;16;17;29;29;29;17;29;20;12;25;29;29;29;2;3;3;29;27;23;26;29;25;29;29;29;29;29;29;9;29;24;27;26;29;28;13;29;29;29;29;23;29;23;27;23;29;29;29;29;20;29;14;27;29;28;29;17;29;29;29;29;29;20;13;29;19;19;20;13;29;16;18;19;29;21;29;20;6;5;5;13;8;9;8;24;29;29;2;29;27;29;29;22;11;19;29;25;14;1;3;29;29;29;29;29;29;29;29;29;29;29;8;13;14;14;18;5;6;5;6;6;7;7;12;8;17;3;6;10;14;18;1;2;1;1
23;21;29;0;12;23;43;20;26;42;40;43;43;43;43;23;20;43;43;43;43;10;43;43;3;25;43;39;4;6;41;43;40;16;43;25;31;29;19;19;23;39;22;23;24;24;31;24;1;13;28;31;19;42;37;31;17;16;20;40;33;43;18;16;17;40;43;31;17;43;20;12;25;43;43;36;2;3;3;43;27;23;26;42;25;32;33;29;43;43;30;9;43;24;27;26;41;28;13;43;43;31;29;23;35;23;27;23;43;31;43;43;20;39;14;27;43;28;43;17;43;41;39;31;43;20;13;41;19;19;20;13;43;16;18;19;43;21;37;20;6;5;5;13;8;9;8;24;43;38;2;30;27;36;39;22;11;19;29;25;14;1;3;39;40;34;34;37;32;31;32;33;34;33;8;13;14;14;18;5;6;5;6;6;7;7;12;8;17;3;6;10;14;18;1;2;1;1
12;12;12;12;0;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;10;12;12;3;12;12;12;4;6;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;1;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;2;3;3;12;12;12;12;12;12;12;12;12;12;12;12;9;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;6;5;5;12;8;9;8;12;12;12;2;12;12;12;12;12;11;12;12;12;12;1;3;12;12;12;12;12;12;12;12;12;12;12;8;12;12;12;12;5;6;5;6;6;7;7;12;8;12;3;6;10;12;12;1;2;1;1
23;21;23;23;12;0;23;20;23;23;23;23;23;23;23;23;20;23;23;23;23;10;23;23;3;23;23;23;4;6;23;23;23;16;23;23;23;23;19;19;23;23;22;23;23;23;23;23;1;13;23;23;19;23;23;23;17;16;20;23;23;23;18;16;17;23;23;23;17;23;20;12;23;23;23;23;2;3;3;23;23;23;23;23;23;23;23;23;23;23;23;9;23;23;23;23;23;23;13;23;23;23;23;23;23;23;23;23;23;23;23;23;20;23;14;23;23;23;23;17;23;23;23;23;23;20;13;23;19;19;20;13;23;16;18;19;23;21;23;20;6;5;5;13;8;9;8;23;23;23;2;23;23;23;23;22;11;19;23;23;14;1;3;23;23;23;23;23;23;23;23;23;23;23;8;13;14;14;18;5;6;5;6;6;7;7;12;8;17;3;6;10;14;18;1;2;1;1
23;21;29;43;12;23;0;20;26;42;40;46;60;49;49;23;20;60;56;75;43;10;74;45;3;25;46;39;4;6;41;45;40;16;45;25;31;29;19;19;23;39;22;23;24;24;31;24;1;13;28;31;19;42;37;31;17;16;20;40;33;52;18;16;17;40;96;31;17;53;20;12;25;56;45;36;2;3;3;57;27;23;26;42;25;32;33;29;53;62;30;9;59;24;27;26;41;28;13;44;55;31;29;23;35;23;27;23;59;31;53;48;20;39;14;27;55;28;46;17;43;41;39;31;52;20;13;41;19;19;20;13;51;16;18;19;46;21;37;20;6;5;5;13;8;9;8;24;48;38;2;30;27;36;39;22;11;19;29;25;14;1;3;39;40;34;34;37;32;31;32;33;34;33;8;13;14;14;18;5;6;5;6;6;7;7;12;8;17;3;6;10;14;18;1;2;1;1
20;20;20;20;12;20;20;0;20;20;20;20;20;20;20;20;20;20;20;20;20;10;20;20;3;20;20;20;4;6;20;20;20;16;20;20;20;20;19;19;20;20;20;20;20;20;20;20;1;13;20;20;19;20;20;20;17;16;20;20;20;20;18;16;17;20;20;20;17;20;20;12;20;20;20;20;2;3;3;20;20;20;20;20;20;20;20;20;20;20;20;9;20;20;20;20;20;20;13;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;14;20;20;20;20;17;20;20;20;20;20;20;13;20;19;19;20;13;20;16;18;19;20;20;20;20;6;5;5;13;8;9;8;20;20;20;2;20;20;20;20;20;11;19;20;20;14;1;3;20;20;20;20;20;20;20;20;20;20;20;8;13;14;14;18;5;6;5;6;6;7;7;12;8;17;3;6;10;14;18;1;2;1;1
23;21;26;26;12;23;26;20;0;26;26;26;26;26;26;23;20;26;26;26;26;10;26;26;3;25;26;26;4;6;26;26;26;16;26;25;26;26;19;19;23;26;22;23;24;24;26;24;1;13;26;26;19;26;26;26;17;16;20;26;26;26;18;16;17;26;26;26;17;26;20;12;25;26;26;26;2;3;3;26;26;23;26;26;25;26;26;26;26;26;26;9;26;24;26;26;26;26;13;26;26;26;26;23;26;23;26;23;26;26;26;26;20;26;14;26;26;26;26;17;26;26;26;26;26;20;13;26;19;19;20;13;26;16;18;19;26;21;26;20;6;5;5;13;8;9;8;24;26;26;2;26;26;26;26;22;11;19;26;25;14;1;3;26;26;26;26;26;26;26;26;26;26;26;8;13;14;14;18;5;6;5;6;6;7;7;12;8;17;3;6;10;14;18;1;2;1;1
23;21;29;42;12;23;42;20;26;0;40;42;42;42;42;23;20;42;42;42;42;10;42;42;3;25;42;39;4;6;41;42;40;16;42;25;31;29;19;19;23;39;22;23;24;24;31;24;1;13;28;31;19;42;37;31;17;16;20;40;33;42;18;16;17;40;42;31;17;42;20;12;25;42;42;36;2;3;3;42;27;23;26;42;25;32;33;29;42;42;30;9;42;24;27;26;41;28;13;42;42;31;29;23;35;23;27;23;42;31;42;42;20;39;14;27;42;28;42;17;42;41;39;31;42;20;13;41;19;19;20;13;42;16;18;19;42;21;37;20;6;5;5;13;8;9;8;24;42;38;2;30;27;36;39;22;11;19;29;25;14;1;3;39;40;34;34;37;32;31;32;33;34;33;8;13;14;14;18;5;6;5;6;6;7;7;12;8;17;3;6;10;14;18;1;2;1;1
